"","Estimate","t value","Pr(>|t|)"
"Sub.head.BMC_norm",0.0890328736699104,0.949362645893111,0.346585225753053
"Distal.Radius.Third.Area_norm",0.802129374999323,4.56913815238939,2.45856768334995e-05
"Distal.bone.mineral.content.third_norm",0.595492660136717,4.66335225732804,1.41478695363517e-05
"Distal.Modulus.Third.Radius_norm",0.333313848674294,3.12356570628041,0.00246253035898159
"UD.Area.Radius_norm",0.787765461735412,5.54725675674427,6.27317808366001e-07
"UD.BMC_norm",0.820616744849789,5.97004477851537,1.9675103235528e-07
"UD.IBS.Radius_norm",0.818858425871443,5.81483498472995,4.23829827900235e-07
"Femoral.Neck.BMC.Hip_norm",0.169629285288174,1.33507826518595,0.186620894289298
"NN.Section.Modulus.Hip_norm",0.0987272676196066,0.731940699203374,0.467096711927421
"NN.BR.Hip_norm",-0.788170961868054,-4.09196872059117,0.000114157378996671
"NN.width.Hip_norm",-0.525383333074906,-2.83258068528958,0.00635435492993341
"NN.ED.Hip_norm",-0.628642152622231,-3.13279247146742,0.00273768354479342
"NN.ACT.Hip_norm",0.437373834731129,2.99348662445249,0.00393855320163894
"PA.L3.BMC.Spine_norm",0.0694653933205759,0.608384793772302,0.544838372737188
