"","Estimate","t value","Pr(>|t|)"
"Sub.head.BMC",0.102354492823505,0.831834920392968,0.411
"Distal.Radius.Third.Area",0.951079168322807,3.50892042758784,0.001
"Distal.bone.mineral.content.third",0.804731672289306,4.34127877205875,0
"Distal.Modulus.Third.Radius",0.588381861286091,3.42330325447747,0.001
"UD.Area.Radius",1.01728765061588,5.35429193692243,0
"UD.BMC",1.31675658013421,6.59760929669482,0
"UD.IBS.Radius",1.20220576072628,5.59868370321863,0
"Femoral.Neck.BMC.Hip",0.246775885443997,1.47877191409141,0.147
"NN.Section.Modulus.Hip",0.247846965471092,1.43374407150793,0.159
"NN.BR.Hip",-0.666842354060328,-2.49829722141116,0.016
"NN.width.Hip",-0.240653380717904,-0.970995271182064,0.337
"NN.ED.Hip",-0.35184954960205,-1.33541044112773,0.189
"NN.ACT.Hip",0.438704391503141,2.42654490609265,0.019
"PA.L3.BMC.Spine",0.113229333038662,0.755694911362053,0.454
