"","Estimate","t value","Pr(>|t|)"
"Sub.head.BMC",0.111140771889361,0.803909319728721,0.425
"Distal.Radius.Third.Area",0.83456864493192,2.69622370472254,0.009
"Distal.bone.mineral.content.third",0.654785667145192,3.27285872786569,0.002
"Distal.Modulus.Third.Radius",0.568233810986758,2.37286530432941,0.02
"UD.Area.Radius",0.854085549349691,4.32184043437397,0
"UD.BMC",0.556263147369787,2.75151651500156,0.009
"UD.IBS.Radius",0.207492637354409,0.930872058952159,0.357
"Femoral.Neck.BMC.Hip",0.228285292189704,1.17648598223612,0.244
"NN.Section.Modulus.Hip",0.104044984864768,0.535392280871091,0.595
"NN.BR.Hip",-0.64239170512535,-2.41580563695092,0.02
"NN.width.Hip",-0.442335269673071,-1.67427555582075,0.101
"NN.ED.Hip",-0.573521835838609,-1.95437269828371,0.056
"NN.ACT.Hip",0.532669780499246,2.38769251810984,0.02
"PA.L3.BMC.Spine",0.0370090646482546,0.232928245188018,0.817
