"","response_names","estimate","statistic","p.value"
"1","Sub.head.BMC",0.0679165695302658,0.554136906526872,0.579
"2","Distal.Radius.Third.Area",0.510422816821136,1.7937014542823,0.073
"3","Distal.bone.mineral.content.third",0.323419738196078,1.82726499744732,0.068
"4","Distal.Modulus.Third.Radius",0.440215939571858,2.06391380521902,0.039
"5","UD.Area.Radius",-0.0124415850180664,-0.0496220344754434,0.96
"6","UD.BMC",0.338545845721867,1.3480253521314,0.178
"7","UD.IBS.Radius",0.402847193722919,1.4141757190017,0.157
"8","Femoral.Neck.BMC.Hip",0.0292426921162808,0.143428364322551,0.886
"9","NN.Section.Modulus.Hip",0.179227113476988,0.799169031047865,0.424
"10","NN.BR.Hip",-0.277515027757542,-0.758339687074115,0.448
"11","NN.width.Hip",0.014079051029206,0.0416983965227308,0.967
"12","NN.ED.Hip",-0.15885348953962,-0.39450143876764,0.693
"13","NN.ACT.Hip",0.183576928746833,0.624401131490355,0.532
"14","PA.L3.BMC.Spine",-0.0463020899998695,-0.247759719835297,0.804
